Выбрано: Изысканный рацион (пони/год) 1
_--Полевые работы (нормо-часов)                              | 260
Стручки ванили (килограмм)                                   | 0
Стручки красного перца (килограмм)                           | 5
Таволга (килограмм)                                          | 1
Тимьян (килограмм)                                           | 1
Томаты (килограмм)                                           | 46
Топинамбур (килограмм)                                       | 9
Тыква (килограмм)                                            | 26
Укроп (килограмм)                                            | 5
Фенугрек (килограмм)                                         | 0
Фенхель (килограмм)                                          | 1
Финики (килограмм)                                           | 1
Фисташки в шелухе (килограмм)                                | 0
Хрен (килограмм)                                             | 0
Цветы шафрана (килограмм)                                    | 9
Чабрец (килограмм)                                           | 1
Чайные листья (килограмм)                                    | 6
Черника (килограмм)                                          | 6
Чеснок (килограмм)                                           | 6
Шалфей (килограмм)                                           | 1
Шампиньоны (килограмм)                                       | 7
Шпинат (килограмм)                                           | 3
Щавель (килограмм)                                           | 1
Эстрагон (килограмм)                                         | 0
Яблоко (килограмм)                                           | 91
